ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,ch,chp,time
859.6,6847510,1720769033,1720769034,1,61,859.6,859.65,2,647718,1747882,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788834.152556
859.65,6847540,1720769034,1720769034,2,38,859.6,859.65,13,648634,1747619,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788834.751546
859.65,6847540,1720769034,1720769035,2,38,859.6,859.65,13,648634,1747619,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788835.262167
859.6,6847553,1720769035,1720769035,10,285,859.45,859.6,10,646238,1748038,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788835.750378
859.55,6847553,1720769035,1720769036,10,285,859.45,859.6,10,646238,1748038,859.55,855.3,863.0,0,0,856.7,856.7,2.85,0.3327,1720788836.150844
859.6,6847635,1720769036,1720769036,10,215,859.55,859.6,20,646247,1747962,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788836.751554
859.6,6847635,1720769036,1720769037,10,215,859.55,859.6,20,646247,1747962,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788837.24268
859.6,6847755,1720769037,1720769037,10,95,859.55,859.6,51,641783,1747842,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788837.748419
859.6,6847755,1720769037,1720769038,10,95,859.55,859.6,51,641783,1747842,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788838.147552
859.6,6847755,1720769037,1720769038,10,95,859.55,859.6,51,641897,1748067,859.55,855.3,863.0,0,0,856.7,856.7,2.9,0.3385,1720788838.746344
859.9,6854167,1720769078,1720769080,1,1,859.65,859.85,5,650670,1744050,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788880.938552
859.9,6854167,1720769078,1720769081,228,1,859.75,859.85,5,654134,1741272,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788881.131238
859.75,6854167,1720769078,1720769081,228,1,859.75,859.85,5,654134,1741272,859.55,855.3,863.0,0,0,856.7,856.7,3.05,0.356,1720788881.443739
859.9,6854206,1720769081,1720769082,193,442,859.75,859.9,1,654133,1742253,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788882.131047
859.9,6854256,1720769082,1720769083,577,392,859.65,859.9,50,653550,1733705,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788883.132551
859.9,6854256,1720769082,1720769084,577,392,859.65,859.9,1,653550,1733705,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788884.131799
