bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
859.45,859.4,859.3,859.25,859.2,859.6,859.65,859.7,859.75,859.8,3,1,49,302,2473,449,547,675,1567,1822,1,1,1,5,7,5,5,10,12,12,1720789285.353666
859.55,859.45,859.4,859.35,859.3,859.6,859.65,859.7,859.75,859.8,1,3,1,1,49,333,547,542,1218,1760,1,1,1,1,1,3,5,7,12,10,1720789286.146293
859.55,859.4,859.35,859.25,859.2,859.6,859.65,859.7,859.75,859.8,7,58,1,530,2812,332,547,530,1259,1551,1,1,1,7,10,3,5,6,13,10,1720789287.353122
859.55,859.4,859.35,859.3,859.25,859.6,859.65,859.7,859.75,859.8,7,68,1,54,419,63,494,408,1078,1558,1,2,1,1,7,1,4,5,10,11,1720789288.357931
859.25,859.2,859.15,859.1,859.05,859.55,859.6,859.65,859.7,859.75,257,2502,382,702,3339,224,595,836,455,1108,3,9,9,13,14,1,4,8,6,10,1720789289.355275
859.25,859.2,859.15,859.1,859.05,859.55,859.6,859.65,859.7,859.75,81,2292,155,688,2681,680,1393,818,1196,2385,1,5,8,12,12,4,14,7,9,13,1720789290.355347
859.45,859.3,859.25,859.2,859.15,859.55,859.6,859.65,859.7,859.75,10,1,65,2292,155,681,1040,789,1362,2618,1,1,1,5,8,5,8,7,9,14,1720789291.145404
859.45,859.3,859.2,859.15,859.1,859.5,859.55,859.6,859.65,859.7,10,1,2292,126,804,115,718,1040,789,1362,1,1,5,8,13,2,7,8,7,9,1720789292.355246
859.45,859.3,859.2,859.15,859.1,859.5,859.55,859.6,859.65,859.7,10,1,2346,126,810,61,497,1045,789,1362,1,1,6,8,14,2,6,9,7,9,1720789293.545535
859.45,859.3,859.2,859.15,859.1,859.5,859.55,859.6,859.65,859.7,10,1,2346,126,815,39,497,593,777,1058,1,1,6,8,15,2,6,6,6,7,1720789294.356262
859.45,859.3,859.2,859.15,859.1,859.5,859.55,859.6,859.65,859.7,10,1,2346,126,815,31,497,593,777,1058,1,1,6,8,15,2,6,6,6,7,1720789295.355203
859.45,859.3,859.2,859.15,859.1,859.55,859.6,859.65,859.7,859.75,10,1,2353,119,815,475,470,777,1058,2656,1,1,7,7,15,6,5,6,7,15,1720789296.360347
859.5,859.45,859.25,859.2,859.15,859.55,859.6,859.65,859.7,859.75,6,10,5,2486,349,266,402,722,1058,2566,1,1,1,9,8,4,5,5,7,14,1720789297.359196
859.5,859.45,859.25,859.2,859.15,859.55,859.6,859.65,859.7,859.75,4,10,5,2486,577,33,402,722,1058,2232,1,1,1,9,9,2,5,5,7,14,1720789298.548246
859.45,859.4,859.25,859.2,859.15,859.55,859.6,859.65,859.7,859.75,10,1,5,2486,577,233,408,796,1052,2220,1,1,1,9,9,3,6,7,6,13,1720789299.552293
859.1,859.05,859.0,858.95,858.9,859.35,859.4,859.45,859.5,859.55,55,550,736,114,385,510,628,1482,1775,2905,2,4,11,3,9,5,8,13,14,20,1720789300.361112
